Date,Open,High,Low,Close,Volume
40434,37.974285,38.325714,37.965714,38.148571,97195000
40435,38.029999,38.452858,37.931427,38.294285,102037600
40436,38.310001,38.625713,38.262856,38.602856,107342200
40437,38.605713,39.524284,38.5,39.509998,163025800
40438,39.669998,39.708572,39.097141,39.33857,158619300
40441,39.439999,40.540001,39.407143,40.46143,164669400
40442,40.55143,41.049999,40.398571,40.53857,167018600
40443,40.387142,41.139999,40.344284,41.107143,146322400
40444,40.904285,41.822857,40.857143,41.274284,196529200
40445,41.728573,41.932858,41.507141,41.759998,162372000
40448,41.997143,42.104286,41.572857,41.594284,120708700
40449,41.681427,41.681427,39.285713,40.98,258760600
40450,41.032856,41.401428,40.857143,41.052856,117411000
40451,41.285713,41.42857,40.17857,40.535713,168347900
40452,40.878571,40.939999,40.192856,40.360001,112035700
40455,40.228573,40.414288,39.681427,39.805714,108825500
40456,40.285713,41.349998,40.259998,41.277142,125491800
40457,41.369999,41.712856,40.751427,41.312859,167717200
40458,41.477142,41.497143,40.987144,41.317142,102099900
40459,41.672855,42.07143,41.42857,42.009998,164600800
40462,42.105713,42.462856,42.085712,42.194286,106938300
40463,42.201427,42.785713,41.784286,42.648571,139636000
40464,42.885715,43.137142,42.828571,42.877144,157523100
40465,43.098572,43.209999,42.914288,43.187141,108824100
40466,43.919998,45,43.558571,44.962856,230548500
40469,45.495716,45.57143,44.898571,45.42857,273252700
40470,43.342857,44.824287,42.860001,44.212856,308196000
40471,44.142857,44.892857,43.83857,44.361427,180406100
40472,44.622856,44.962856,43.828571,44.217144,137865000
40473,44.152859,44.291428,43.757141,43.924286,93194500
40476,44.155716,44.514286,44.062859,44.119999,98115500
40477,43.83857,44.248573,43.664288,44.007141,98232400
40478,43.950001,44.271427,43.657143,43.975716,99750700
40479,43.992859,44,42.985714,43.605713,137762800
40480,43.46143,43.697144,42.98143,42.997143,107627800
40483,43.174286,43.657143,43.171429,43.454285,105972300
40484,43.857143,44.312859,43.857143,44.194286,108482500
40485,44.48143,44.697144,44.075714,44.685715,127087100
40486,45.064285,45.740002,45.004284,45.467144,160622000
40487,45.427143,45.652859,45.25,45.304287,90313300
40490,45.314285,45.681427,45.251427,45.517143,70439600
40491,45.864285,45.900002,44.92857,45.154285,95886000
40492,45.234287,45.53857,44.792858,45.432858,96056800
40493,45,45.485714,44.892857,45.235714,90321000
40494,45.142857,45.214287,43.375713,44.004284,198961700
40497,44.065716,44.362858,43.752857,43.862858,100901500
40498,43.674286,43.942856,42.759998,43.084286,164412500
40499,43.028572,43.427143,42.537144,42.92857,119862400
40500,43.599998,44.238571,43.527142,44.061428,123622800
40501,43.995716,44.057144,43.605713,43.818573,96210800
40504,43.811428,44.765713,43.695713,44.765713,98268800
40505,44.349998,44.535713,43.794285,44.104286,129861900
40506,44.57143,45.057144,44.535713,44.971428,103431300
40508,44.82,45.385715,44.705715,45,59396400
40511,45.07143,45.354286,44.482857,45.267143,111446300
40512,44.791428,44.908573,44.41,44.450001,125464500
40513,45.03857,45.392857,45,45.200001,115437700
40514,45.361427,45.57143,44.984287,45.450001,115709300
40515,45.287144,45.521427,45.191429,45.348572,85523200
