Date,Open,High,Low,Close,Volume
40798,25.440001,25.93,25.27,25.889999,55046100
40799,25.92,26.190001,25.809999,26.040001,48792300
40800,26.17,26.799999,25.889999,26.5,66739200
40801,26.73,27.030001,26.309999,26.99,67808300
40802,27.049999,27.27,26.83,27.120001,89681500
40805,26.799999,27.309999,26.6,27.209999,52324900
40806,27.309999,27.5,26.93,26.98,49211900
40807,27.049999,27.059999,25.969999,25.99,72750700
40808,25.299999,25.65,24.6,25.059999,96278300
40809,24.9,25.15,24.690001,25.059999,64768100
40812,25.190001,25.52,24.73,25.440001,51057600
40813,25.66,25.92,25.450001,25.67,55620700
40814,25.93,26.370001,25.51,25.58,60736200
40815,25.98,26.17,25.09,25.450001,63407300
40816,25.200001,25.5,24.879999,24.889999,54060500
40819,24.719999,25.34,24.52,24.530001,64592500
40820,24.299999,25.389999,24.26,25.34,83485400
40821,25.42,26.16,25.16,25.889999,94061300
40822,25.9,26.4,25.700001,26.34,55111400
40823,26.34,26.51,26.200001,26.25,52741600
40826,26.58,26.969999,26.469999,26.940001,41815300
40827,26.860001,27.07,26.719999,27,38826200
40828,27.18,27.309999,26.9,26.959999,52489800
40829,26.76,27.200001,26.620001,27.18,43823500
40830,27.309999,27.5,27.02,27.27,50947700
40833,27.110001,27.42,26.85,26.98,39453300
40834,26.940001,27.4,26.799999,27.309999,52487900
40835,27.370001,27.469999,27.01,27.129999,42880000
40836,27.26,27.34,26.4,27.040001,76300200
40837,27.15,27.190001,26.799999,27.16,76620600
40840,27.059999,27.4,27.040001,27.190001,56897800
40841,27.08,27.23,26.719999,26.809999,53554600
40842,27.030001,27.059999,26.1,26.59,63029900
40843,27.129999,27.4,26.65,27.25,74512400
40844,27.139999,27.190001,26.790001,26.98,57712100
40847,26.76,27,26.620001,26.629999,46799000
40848,26.190001,26.32,25.860001,25.99,61182600
40849,26.1,26.200001,25.700001,26.01,53533100
40850,26.24,26.59,25.98,26.530001,65836100
40851,26.379999,26.4,26,26.25,36549200
40854,26.209999,26.82,26.129999,26.799999,42589700
40855,27.01,27.200001,26.690001,27.16,47822500
40856,26.59,26.75,26.059999,26.200001,62950900
40857,26.469999,26.5,26.120001,26.280001,32514400
40858,26.58,27.08,26.57,26.91,37903000
40861,26.879999,27,26.65,26.76,34199200
40862,26.559999,26.940001,26.4,26.74,43874200
40863,26.469999,26.51,26.040001,26.07,53262800
40864,26.01,26.040001,25.440001,25.540001,70977500
40865,25.48,25.5,25.15,25.299999,47626200
40868,25.24,25.25,24.9,25,61882500
40869,24.889999,24.959999,24.65,24.790001,49204500
40870,24.610001,24.790001,24.469999,24.469999,49099700
40872,24.379999,24.67,24.299999,24.299999,26164600
40875,24.940001,24.969999,24.690001,24.870001,46766700
40876,24.82,25.040001,24.75,24.84,40917100
40877,25.370001,25.59,25.139999,25.58,81350900
40878,25.559999,25.629999,25.200001,25.280001,48545400
40879,25.59,25.620001,25.16,25.219999,52293800
40882,25.780001,25.799999,25.5,25.700001,56818400
40883,25.809999,25.870001,25.610001,25.66,46175300
40884,25.67,25.76,25.34,25.6,62667000
40885,25.48,25.719999,25.370001,25.4,60522200
40886,25.52,25.870001,25.5,25.700001,53788500
40889,25.41,25.57,25.290001,25.51,38945900
40890,25.75,26.1,25.65,25.76,54581100
40891,25.719999,25.860001,25.57,25.59,47926400
40892,25.719999,25.879999,25.540001,25.559999,46213900
40893,25.67,26.17,25.629999,26,101408100
40896,26.02,26.120001,25.459999,25.530001,52258300
40897,25.860001,26.1,25.809999,26.030001,60767600
40898,26.01,26.190001,25.440001,25.76,64132500
40899,25.82,25.860001,25.48,25.809999,35794100
40900,25.91,26.040001,25.73,26.030001,23205800
40904,25.959999,26.139999,25.93,26.040001,21287200
40905,26.110001,26.15,25.76,25.82,29822500
40906,25.950001,26.049999,25.860001,26.02,22616900
40907,26,26.120001,25.91,25.959999,27395700
40911,26.549999,26.959999,26.389999,26.77,64731500
40912,26.82,27.469999,26.780001,27.4,80516100
40913,27.379999,27.73,27.290001,27.68,56081400
40914,27.530001,28.190001,27.530001,28.110001,99455500
40917,28.049999,28.1,27.719999,27.74,59706800
40918,27.93,28.15,27.75,27.84,60014400
40919,27.43,27.98,27.370001,27.719999,65582400
40920,27.870001,28.02,27.65,28,49370800
40921,27.93,28.25,27.790001,28.25,60196100
40925,28.4,28.65,28.17,28.26,72395300
40926,28.309999,28.4,27.969999,28.23,64860600
40927,28.16,28.440001,28.030001,28.120001,74053500
40928,28.82,29.74,28.75,29.709999,165902900
40931,29.549999,29.950001,29.35,29.73,76078100
40932,29.469999,29.57,29.18,29.34,51703300
40933,29.07,29.65,29.07,29.559999,59231700
40934,29.610001,29.700001,29.4,29.5,49102800
40935,29.450001,29.530001,29.17,29.23,44187700
40938,28.969999,29.620001,28.83,29.610001,51114800
40939,29.66,29.700001,29.23,29.530001,50572400
40940,29.790001,30.049999,29.76,29.889999,67409900
40941,29.9,30.17,29.709999,29.950001,52223300
40942,30.139999,30.4,30.09,30.24,41838500
40945,30.040001,30.219999,29.969999,30.200001,28039700
40946,30.15,30.49,30.049999,30.35,39242400
40947,30.26,30.67,30.219999,30.66,49659100
40948,30.68,30.799999,30.48,30.77,50481600
40949,30.639999,30.799999,30.360001,30.5,44605300
40952,30.629999,30.77,30.43,30.58,33319800
40953,30.33,30.459999,29.85,30.25,59644000
40954,30.33,30.389999,30.030001,30.049999,43311300
40955,30.309999,31.549999,30.299999,31.290001,94705100
40956,31.200001,31.32,30.950001,31.25,70036500
40960,31.18,31.610001,31.15,31.440001,50829900
40961,31.450001,31.68,31.18,31.27,49253200
40962,31.200001,31.59,31,31.370001,35034700
40963,31.48,31.5,31.24,31.48,35575400
40966,31.24,31.5,31.1,31.35,34568400
40967,31.41,31.93,31.379999,31.870001,45230600
40968,31.889999,32,31.610001,31.74,59323600
40969,31.93,32.389999,31.85,32.290001,77344100
40970,32.310001,32.439999,32,32.080002,47314200
40973,32.009998,32.049999,31.620001,31.799999,45240000
40974,31.540001,31.98,31.49,31.559999,51932900
40975,31.67,31.92,31.530001,31.84,34340400
40976,32.040001,32.209999,31.9,32.009998,36747400
40977,32.099998,32.16,31.92,31.99,34628400
40980,31.969999,32.200001,31.82,32.040001,34073600
40981,32.240002,32.689999,32.150002,32.669998,48951700
40982,32.529999,32.880001,32.490002,32.77,41986900
40983,32.790001,32.939999,32.580002,32.849998,49068300
40984,32.91,32.950001,32.5,32.599998,65626400
40987,32.540001,32.610001,32.150002,32.200001,44789200
40988,32.099998,32.150002,31.74,31.99,41566800
40989,31.959999,32.150002,31.82,31.91,37928600
40990,31.809999,32.09,31.790001,32,31749500
40991,32.099998,32.110001,31.719999,32.009998,35912200
40994,32.189999,32.610001,32.150002,32.59,36758300
40995,32.650002,32.700001,32.400002,32.52,36274900
40996,32.52,32.700001,32.040001,32.189999,41344800
40997,32.060001,32.189999,31.809999,32.119999,37038500
40998,32.400002,32.41,32.040001,32.259998,31749400
41001,32.220001,32.459999,31.950001,32.290001,35853600
41002,32.16,32.189999,31.66,31.940001,42752100
41003,31.66,31.690001,31.049999,31.209999,49455900
41004,31.15,31.629999,31.049999,31.52,50368600
41008,31.219999,31.4,30.969999,31.1,31056400
41009,31.059999,31.190001,30.299999,30.469999,54131300
41010,30.43,30.530001,30.23,30.35,43014000
41011,30.48,31.040001,30.42,30.98,38304000
41012,30.889999,31.16,30.719999,30.809999,39749200
41015,30.99,31.190001,30.77,31.08,38124800
41016,31.27,31.610001,31.200001,31.440001,34361500
41017,31.280001,31.309999,31.040001,31.139999,40552900
41018,31.129999,31.68,30.940001,31.01,54781200
41019,32.150002,32.889999,32.049999,32.419998,106045000
41022,32.310001,32.5,32.029999,32.119999,61398200
41023,32.209999,32.52,31.83,31.92,40871100
41024,31.92,32.32,31.870001,32.200001,62495500
41025,32.119999,32.23,31.92,32.110001,40308100
41026,32.119999,32.220001,31.879999,31.98,41419100
41029,31.98,32.110001,31.92,32.02,35697200
41030,32.049999,32.34,31.950001,32.009998,43832300
41031,31.85,31.93,31.639999,31.799999,37385300
41032,31.879999,31.9,31.610001,31.76,31501300
41033,31.450001,31.57,30.92,30.98,57927200
41036,30.700001,30.860001,30.57,30.65,48641400
41037,30.48,30.780001,30.17,30.5,46328300
41038,30.190001,30.83,30.1,30.76,50309300
41039,30.860001,31.02,30.450001,30.74,43839200
41040,30.690001,31.540001,30.690001,31.16,43459300
41043,30.82,31.040001,30.639999,30.68,40528900
41044,30.639999,30.799999,30.15,30.209999,61822800
41045,30.309999,30.32,29.74,29.9,60083700
41046,29.99,30.209999,29.709999,29.719999,48484000
41047,29.790001,29.809999,29.17,29.27,56205300
41050,29.1,29.790001,29.059999,29.75,38787900
41051,29.690001,29.879999,29.5,29.76,39504900
41052,29.35,29.4,28.639999,29.110001,65171000
41053,29.16,29.299999,28.76,29.07,52575000
41054,29.200001,29.360001,29.01,29.059999,29507200
41058,29.379999,29.719999,29.219999,29.559999,37758800
41059,29.35,29.48,29.120001,29.34,41585500
41060,29.299999,29.42,28.940001,29.190001,39134000
41061,28.76,28.959999,28.440001,28.450001,56634300
41064,28.620001,28.780001,28.32,28.549999,47926300
41065,28.51,28.75,28.389999,28.51,45715400
41066,28.879999,29.370001,28.809999,29.35,46860500
41067,29.639999,29.700001,29.17,29.23,37792800
41068,29.209999,29.68,29.049999,29.65,42551100
41071,29.73,29.809999,28.82,28.9,46361900
41072,29.1,29.299999,28.84,29.290001,35337900
41073,29.219999,29.440001,29.049999,29.129999,32984600
41074,29.33,29.459999,28.879999,29.34,39458900
41075,29.59,30.08,29.49,30.02,62314400
41078,29.99,30.030001,29.709999,29.84,58679900
41079,30.190001,31.110001,30.049999,30.700001,75725800
41080,30.93,31.049999,30.639999,30.93,36257100
41081,30.959999,31.139999,30.059999,30.139999,48456600
41082,30.299999,30.73,30.030001,30.700001,45098100
41085,30.299999,30.32,29.620001,29.870001,42217200
41086,30,30.27,29.940001,30.02,38421300
41087,30.190001,30.5,30.030001,30.17,33781700
41088,29.98,30.049999,29.42,29.91,45328400
41089,30.450001,30.690001,30.139999,30.59,55227200
41092,30.620001,30.620001,30.209999,30.559999,30589100
41093,30.23,30.76,30.17,30.76,20938100
41095,30.59,30.780001,30.379999,30.700001,28801900
41096,30.610001,30.700001,29.950001,30.190001,38294800
41099,30.120001,30.23,29.780001,30,30680800
41100,30.08,30.219999,29.51,29.74,37534100
41101,29.709999,29.74,29.110001,29.299999,39184900
41102,29.15,29.18,28.540001,28.629999,63523600
41103,28.76,29.48,28.719999,29.389999,39085000
41106,29.48,29.530001,29.040001,29.440001,27900600
41107,29.639999,29.860001,29.200001,29.66,33771300
41108,29.6,30.450001,29.459999,30.450001,41090400
41109,30.51,30.799999,30.379999,30.67,46663200
41110,31,31.049999,30.049999,30.120001,64021700
41113,29.57,29.58,29.01,29.280001,55151900
41114,29.24,29.360001,28.9,29.15,47723300
41115,29.24,29.33,28.780001,28.83,45579500
41116,29.23,29.5,29.09,29.16,45301400
41117,29.48,29.85,29.18,29.76,44242600
41120,29.75,29.82,29.459999,29.639999,28905000
41121,29.48,29.709999,29.33,29.469999,37620900
41122,29.59,29.65,29.209999,29.41,31721800
41123,29.209999,29.530001,28.969999,29.190001,39520500
41124,29.530001,29.940001,29.48,29.75,35859400
41127,30,30.110001,29.809999,29.950001,27471800
41128,30.07,30.35,29.870001,30.26,28002900
41129,30.209999,30.469999,30.110001,30.33,26257600
41130,30.389999,30.65,30.299999,30.5,24920800
41131,30.5,30.620001,30.25,30.42,27810300
41134,30.35,30.459999,30.16,30.389999,23049100
41135,30.299999,30.389999,30.01,30.129999,34551400
41136,30.110001,30.280001,30.02,30.200001,24351000
